function	SA_D070	SA_D061	SA_D080	SA_D063	SA_D075	SA_D053	SA_D057	SA_D062	SA_D078	SA_D068	SA_D060	SA_D076	SA_D071	SA_D085	SA_D059	SA_D067	SA_D098	SA_D058	SA_D097	SA_D072	SA_D066	SA_D089	SA_D054	SA_D090	SA_D065	SA_D064	SA_D073	SA_D091	SA_D074	SA_D079	SA_D084	SA_D100	SA_D096	SA_D069	SA_D077	SA_D093	SA_D095	SA_D083	SA_D056	SA_D081	SA_D086	SA_D092	SA_D088	SA_D055	SA_D094	SA_D099	SA_D082	SA_D087
acetate_oxidation.value	313754	339502	400057	435730	619052	178676	172880	557426	238639	598610	677613	728401	518022	291051	350810	307568	235929	801900	266847	312633	642534	236406	322233	448730	281765	426157	344196	203088	374811	241384	284733	493173	270852	254912	215866	216139	230429	182573	421092	218272	210904	98734	382333	215647	309909	575458	264841	291669
acetoclastic_methanogenesis.value	2260	0	2275	0	0	0	0	609	0	2466	25652	11035	493	0	0	0	0	1800	0	9019	3911	0	2731	1572	0	340	317	0	2279	0	32537	0	1550	2547	0	0	0	458	7430	0	1605	1138	2305	0	477	419	846	0
aerobic_ammonia_oxidation.value	23119	7754	53924	5626	14082	2728	2046	15069	43573	23754	29684	48066	24664	12753	4853	14031	7912	5800	11349	28857	19721	19664	5787	63089	6804	14537	13118	27650	79406	18113	40632	16662	21372	2971	11337	17255	17926	23253	17307	34245	20479	16645	70651	4239	25620	24486	29248	41222
aerobic_anoxygenic_phototrophy.value	2479	2308	693	5625	11064	0	0	4261	159	1038	865	24504	2630	0	1617	404	1157	0	1649	5977	12752	485	1201	629	2268	8419	1164	0	9115	207	2744	5907	1011	243	2365	751	743	183	477	810	7158	0	3107	1413	477	3627	85	552
aerobic_chemoheterotrophy.value	1616740	5607635	3749014	4692317	8887974	4649699	5250354	6282622	2550879	2713405	7222563	7980786	8388940	4985496	6071900	5167980	3126867	4429657	3666414	2518366	4905626	5105234	5161947	5264936	5559357	4420349	5559384	3565561	3985907	3199148	3183045	4608512	2627443	2978556	3565351	2997645	2988377	3434120	3150378	2984884	2848153	2239773	4605018	3696580	2722122	3190496	2490074	3332118
aerobic_nitrite_oxidation.value	146	0	495	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	291	218	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	409	191	0	0	200	257	119	0	127	0
alcohol_fermentation.value	16479	3139	6035	3164	11566	0	0	10955	5416	31534	20463	10849	2795	2289	2861	4743	5595	7800	4754	38087	9350	1356	1856	10899	7291	5357	3597	3133	18746	2685	43514	27113	5932	10491	3407	5048	5198	4118	8246	3334	27091	10244	11025	6549	10847	12068	8084	3032
alginate_degradation.value	729	0	297	0	8046	0	0	1217	0	649	0	4115	0	981	0	0	0	0	1164	0	0	0	0	734	3403	1616	1799	0	2868	207	261	0	0	1395	139	750	742	275	0	953	2475	295	1202	0	596	768	677	276
aliphatic_non_methane_hydrocarbon_degradation.value	437	185	0	0	0	0	0	1218	0	0	865	1309	0	0	373	1716	579	0	291	978	510	0	2731	2620	0	850	1481	0	2795	0	1437	303	135	971	209	0	0	0	0	476	4817	169	0	771	655	0	296	0
anaerobic_chemoheterotrophy.value	871315	288273	491568	264182	238871	106389	177481	428225	353974	1091714	707014	450608	270601	161546	313365	123211	147387	584933	197365	498446	964557	148855	357188	372962	264914	291017	290652	237975	599230	249992	551691	348523	153830	176330	205159	213745	122954	107716	525032	166120	200134	96696	473230	89135	309072	495948	223453	389537
anammox.value	1823	0	1385	0	0	0	0	0	398	389	2018	3740	329	0	0	0	579	0	0	2879	2210	387	0	2097	0	255	0	278	2573	138	12021	1817	135	848	0	0	0	0	885	286	937	590	601	0	2085	140	1397	138
animal_parasites_or_symbionts.value	53531	45877	95083	24083	137793	10230	11763	53568	81728	46986	82716	159547	94206	43820	20652	23014	32415	24400	30849	82705	78547	58406	24357	99980	32566	43789	66233	49308	151828	30713	108442	64373	66334	23464	54370	27829	39779	72401	57037	43387	44832	35189	125771	20166	38489	43881	46986	76103
anoxygenic_photoautotrophy_Fe_oxidizing.value	87788	0	30271	0	0	0	0	5022	66192	17907	28823	7670	0	0	0	0	0	382351	0	15159	71241	3196	1748	67696	0	1956	0	0	6395	895	6011	0	0	2304	17310	0	0	0	32036	10145	0	2277	3007	0	26754	0	51164	0
anoxygenic_photoautotrophy_H2_oxidizing.value	19541	3600	21863	46227	5029	4092	23016	4413	18081	806493	9800	10663	4274	9156	995	10898	0	31597	582	19397	120380	485	8739	6183	41155	13692	13649	0	44911	1446	9016	1666	876	15886	2016	1297	743	824	416602	1906	11638	2951	33472	4624	6377	908	3174	5859
anoxygenic_photoautotrophy_S_oxidizing.value	2645452	8678	1671943	22323	905693	4092	47567	401593	1265127	1379795	332899	709320	83844	27143	34832	27044	13697	942881	9509	629001	925633	42226	33534	408904	16364	42266	50681	91933	622640	476576	132765	42107	44154	44871	269043	56491	11882	10433	751954	83062	35318	248029	242325	17982	358651	8372	279691	121160
anoxygenic_photoautotrophy.value	2659814	11539	1674813	69605	908710	8184	86440	406006	1265525	1940122	333475	714744	83844	31394	35081	41776	16012	998073	9509	634542	1122016	42226	39433	411838	60112	55193	63590	91933	638590	476920	135901	50286	45974	100230	269043	56491	12200	10433	917109	84253	41338	248155	244530	25432	372774	8651	284685	121643
aromatic_compound_degradation.value	52063	14585	25425	107746	194113	24551	29153	30893	20710	26212	89349	177702	84173	27143	110468	48437	31252	74193	29305	45586	42164	13268	52652	30707	29812	102477	30473	13023	46018	8399	74742	79216	24536	100594	22733	18762	18142	43652	39055	44007	29500	15011	52419	44440	25148	41644	44821	25363
aromatic_hydrocarbon_degradation.value	22094	739	15235	527	9555	2728	7160	3957	8443	15053	14123	15711	329	981	0	15541	1736	18199	485	10269	26523	7070	18789	19912	7615	3231	635	3064	11029	2203	23389	22872	3437	48934	9038	8255	2334	549	18675	32339	3880	5903	6516	3468	12873	21137	33223	3998
arsenate_detoxification.value	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
arsenate_respiration.value	0	0	198	0	0	0	0	0	558	519	0	0	0	0	0	0	0	0	0	0	0	194	0	0	0	170	0	279	0	551	784	757	0	182	278	0	0	0	0	95	0	0	400	0	119	0	127	0
arsenite_oxidation_detoxification.value	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
arsenite_oxidation_energy_yielding.value	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
cellulolysis.value	36895	149719	26117	219183	88507	56604	47056	149892	69060	26343	333472	135799	175907	64096	314237	15946	18906	52196	23675	79815	64779	9685	145279	45166	69347	119907	104752	17899	91518	15492	70823	143439	16786	49782	34691	11938	18140	29467	24465	13048	59732	10160	160950	14513	15791	206887	14646	129222
chemoheterotrophy.value	2678588	6300487	4446657	5527747	9692592	5109352	5655444	7069376	3133700	4499891	8069649	8948219	8932117	5488453	6486524	5689785	3351618	5185575	3936842	3169389	6389611	5516067	5856559	6041570	6309863	5132327	6309558	3950907	4976002	3603575	3930214	5082141	2884010	3304475	3962737	3365172	3207123	3659898	3940410	3229110	3235594	2426979	5283692	3882815	3207032	3589914	2811639	3851378
chitinolysis.value	11888	6923	18008	7910	24139	0	10740	8521	19358	16093	19311	43208	10029	7194	2737	14027	7332	30998	6499	18691	19210	23729	8192	49987	5508	13433	9311	6755	30364	6126	67947	35746	14561	20372	12375	10984	15170	11899	37077	8194	14381	6744	35275	23375	10012	37809	9945	25365
chlorate_reducers.value	16551	69044	14740	42184	37716	0	24551	45805	1115	4801	8359	26562	42579	16351	1617	1312	5401	61592	4561	8149	510	0	1092	210	324	21687	35657	2716	15362	4751	9931	171611	9976	303	1113	18285	8487	8145	15882	15288	14582	1138	114349	10018	24073	264709	12992	95728
chloroplasts.value	200804	28892	51442	12832	40734	5456	5114	139700	18240	1116502	210979	113917	77761	17659	40182	24118	73691	41395	170785	793681	590847	41935	45879	438875	32730	77222	93217	17620	206540	5510	516555	282637	12269	108838	14461	39300	53894	19585	38374	15765	50568	106877	52217	6936	117504	18696	39569	19367
class	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
