function	SA_D070	SA_D061	SA_D080	SA_D063	SA_D075	SA_D053	SA_D057	SA_D078	SA_D062	SA_D068	SA_D060	SA_D076	SA_D071	SA_D085	SA_D059	SA_D058	SA_D067	SA_D098	SA_D097	SA_D066	SA_D072	SA_D065	SA_D064	SA_D090	SA_D089	SA_D091	SA_D073	SA_D079	SA_D074	SA_D084	SA_D077	SA_D096	SA_D069	SA_D083	SA_D056	SA_D054	SA_D095	SA_D081	SA_D086	SA_D100	SA_D088	SA_D092	SA_D093	SA_D055	SA_D099	SA_D082	SA_D094	SA_D087
acetate_oxidation.value	289533	210431	382160	458848	595962	163379	222348	141916	463556	565796	656127	606364	417574	163646	336179	391583	237175	212006	230319	337129	268419	297065	433771	356699	266572	205896	300197	251098	316839	287959	180360	247465	258471	138604	358369	393490	196495	189258	194818	220645	274412	89381	211527	202955	274574	215465	270238	192977
acetoclastic_methanogenesis.value	1188	0	1265	0	0	0	0	0	332	1342	13763	6027	259	0	0	1009	0	0	0	2214	4884	0	192	946	0	0	170	0	1327	18057	0	826	1373	247	4047	1582	0	0	978	0	1303	623	0	0	235	500	281	76
aerobic_ammonia_oxidation.value	9402	2984	34111	1695	2906	290	1085	22823	4823	13143	17229	27200	14676	7691	1096	784	8373	5144	6043	12989	19752	4441	6876	36093	9492	15551	7472	9288	55611	29369	5122	10778	3302	11039	9590	4113	9600	15297	21664	4610	23554	7892	6775	1693	7095	15907	12339	9249
aerobic_anoxygenic_phototrophy.value	2606	1853	1430	6030	6579	0	0	181	3150	707	0	19511	2760	0	1389	0	441	1206	1566	11067	4972	1248	7253	0	0	0	1245	231	9248	3373	1023	1078	490	198	557	759	0	0	6383	4645	3003	0	661	1433	2583	0	351	0
aerobic_chemoheterotrophy.value	1712608	6080040	3749680	5528152	12042677	4989750	6549645	2687956	7078189	2793626	7765329	9638978	9951529	5973649	6569948	5461271	6188999	3978001	4491028	5163849	2765268	6355438	5285074	5786316	5387003	3926702	6450954	3369752	4284822	3968302	3935091	2895431	4080140	4135340	3354791	5541705	3410818	3075970	3384521	5920680	5461325	2531083	3201214	4358568	3709166	2664603	2932168	3904511
aerobic_nitrite_oxidation.value	536	0	550	0	0	0	2712	0	0	0	0	0	0	0	0	672	0	0	0	0	0	535	0	0	345	0	0	0	0	0	0	0	262	0	446	253	0	230	0	0	227	0	0	287	0	400	140	304
alcohol_fermentation.value	24727	2732	9350	3675	10965	0	1085	8644	9117	47539	20413	14133	2155	2459	2909	8404	5844	5161	4436	16457	29128	10817	6340	9713	2643	2740	5207	4824	18698	37892	3896	4539	12216	4447	10841	2973	4570	4311	33121	14051	7516	2824	5869	5900	6706	7238	9831	5145
alginate_degradation.value	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	322	0	0	0	262	0	0	0	0	0	0	0	567	0	0	0	313	0	0	0
aliphatic_non_methane_hydrocarbon_degradation.value	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	577	588	178	0	662	0	0	0	0	965	0	0	0	131	0	297	2530	0	0	0	516	340	46	0	287	0	0	0	0
anaerobic_chemoheterotrophy.value	871670	220986	458258	187824	80283	97664	121344	379508	343779	1157564	676446	271337	177019	181033	337248	501708	108394	74781	111585	712061	455832	148793	230503	342737	140625	223681	251437	245891	531949	471286	201572	109188	164787	89291	482742	409354	96895	145418	173474	119662	279873	64868	135066	86460	149103	208685	227407	214046
anammox.value	4215	2341	4180	1884	2741	1452	0	1087	2155	1836	9897	10626	3449	0	0	2466	1104	603	835	4234	4532	0	3842	2774	920	380	1358	848	10697	19664	314	2444	3205	1382	3120	633	1344	2183	4694	6193	2607	1615	1570	1434	2270	3402	2738	836
animal_parasites_or_symbionts.value	39022	33130	107421	65010	78021	31513	67248	74282	67193	45078	91768	108111	108676	86215	34549	53904	53143	97021	101242	122602	85305	75765	66438	97145	75219	50122	35004	42463	111068	100850	75249	81175	46915	72164	61782	73830	63472	43075	72540	91390	83776	41378	41575	51429	52137	53692	51659	43349
anoxygenic_photoautotrophy_Fe_oxidizing.value	0	0	14299	0	0	0	0	0	0	4097	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1003	0	0	0	0	0	0	10025	0	0	0	0	0	0	0	0	0	0	2252	0	0
anoxygenic_photoautotrophy_H2_oxidizing.value	20538	3219	23978	49559	0	4357	24404	20544	4807	876450	9588	4495	4484	9833	1058	35415	11909	0	626	136278	20946	45291	14700	5235	230	0	14605	1620	49135	9903	1889	934	16870	889	452080	9489	0	1321	10417	1204	37843	3233	1322	5160	627	3552	6250	6161
anoxygenic_photoautotrophy_S_oxidizing.value	2707158	975	1852897	2356	11514	0	33624	1422123	423607	1500094	285615	154868	65717	29148	1322	587263	16760	5227	2297	1187814	662783	7489	26372	482602	42341	95162	30456	534250	644933	122629	325308	43832	36813	10574	796936	18409	7784	92577	27690	35096	260944	268678	66500	4301	6184	317505	417691	133702
