OTU	SA_D070	SA_D061	SA_D080	SA_D063	SA_D075	SA_D053	SA_D057	SA_D078	SA_D062	SA_D068	SA_D060	SA_D076	SA_D071	SA_D085	SA_D059	SA_D058	SA_D067	SA_D098	SA_D097	SA_D066	SA_D072	SA_D065	SA_D064	SA_D090	SA_D089	SA_D091	SA_D073	SA_D079	SA_D074	SA_D084	SA_D077	SA_D096	SA_D069	SA_D083	SA_D056	SA_D054	SA_D095	SA_D081	SA_D086	SA_D100	SA_D088	SA_D092	SA_D093	SA_D055	SA_D099	SA_D082	SA_D094	SA_D087
ASV_8	2451229	0	144852	0	2741	0	0	1049744	383242	192695	36494	3473	52263	11238	0	354824	2757	0	0	655791	474998	0	2978	349195	33206	0	26606	87647	505044	3731	262340	575	4773	988	27030	6706	0	49699	9096	16000	177325	2448	51084	0	0	120798	247665	99099
ASV_1	48434	1724335	258469	39760	101428	700717	1099809	259472	1006508	130959	953803	59250	532632	692518	616060	752012	746028	261567	255734	194408	90199	590381	105591	281198	481662	538996	222357	193194	163898	87394	380956	109647	174511	107724	309951	410567	125657	398337	221980	223833	7592	337903	336096	236350	147112	253205	235376	0
ASV_28	26746	0	1533105	0	0	0	12473	20544	6630	184783	84432	11850	3450	7726	0	40795	3418	0	0	61017	26065	0	7782	11606	804	90175	0	416323	20025	25544	945	11209	3792	3360	209109	0	3024	10859	3374	5850	23001	244526	2810	0	1565	64702	32863	14298
ASV_19	0	9951	64012	1320010	943555	0	11389	5702	0	4379	659064	913261	113495	132744	771431	10535	47853	13269	14509	2117	13062	6063	568211	12489	24244	13785	4076	43361	2573	3014	9366	63518	1504	5139	0	0	88811	39472	52524	152606	268197	6604	14466	0	126688	16714	8005	147773
ASV_87	0	293	8689	0	1215492	0	0	0	0	0	0	601281	0	0	0	0	0	0	0	0	0	1070	0	16779	26082	0	14831	9027	8927	0	945	12718	0	3360	0	0	16911	10227	0	9291	233865	0	0	0	5243	9157	0	190288
ASV_41	11649	100485	108117	0	0	1163263	36877	30499	57685	13845	469170	0	608526	21422	364030	15914	277748	0	0	56013	61015	158695	0	0	1034	7464	27738	66584	11420	70317	51161	18754	32234	104561	0	233562	17247	139444	9096	0	0	3325	11242	0	0	79464	9129	761
ASV_3	121316	94631	96018	125500	1008250	94397	178963	73126	272845	345974	232884	640917	741511	296041	245022	165420	265399	275038	188408	374188	250532	201846	198691	234142	177061	122163	448563	119126	301579	353593	173792	161310	414798	329200	192847	192442	222868	85264	191463	193209	135175	93977	123412	313462	143043	89172	102661	109670
ASV_369	0	0	0	0	974806	0	0	0	0	0	0	533042	3795	0	0	0	331	0	0	0	0	357	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
ASV_34	151128	1561	22657	1884	0	0	0	8507	23372	968842	9897	51486	16214	0	0	27122	2536	45437	136113	132621	110498	5706	35165	133219	1379	0	10416	926	100205	45347	2204	4311	20204	2174	34159	21382	40094	8044	2788	237941	7252	14639	34221	0	0	28273	62706	8518
ASV_5	17243	402231	142323	12625	20286	573644	322133	280650	320418	28113	509994	10011	871565	195254	297518	269200	323837	87457	95613	101824	148801	259440	43332	76954	128688	458112	81289	98526	75676	278828	434321	374784	48777	399764	410645	334780	409227	90837	71964	6022	0	270248	148044	317762	2582	66404	92128	0
ASV_7	0	0	0	0	815810	0	0	0	0	0	118452	844000	500205	0	111734	0	0	0	0	0	86315	0	0	0	0	0	0	0	0	0	0	5317	0	4744	0	0	6272	29877	0	351320	285873	0	22153	0	256115	19766	18538	174620
ASV_6	37092	444669	649361	151316	165026	78422	418122	32129	567901	84480	133297	370821	590415	795062	151271	167213	462656	115805	241434	146095	106202	89689	211950	317657	341828	413101	530645	505282	338573	318435	50138	196805	61200	357761	152005	33149	262962	103362	374858	203188	342753	338503	209296	171995	126923	76962	248929	230140
ASV_31	0	189165	28047	0	25768	0	15185	139465	77908	6922	0	4495	11211	0	0	0	27896	709710	656455	17131	0	37802	0	110007	270590	33206	168579	53005	90876	0	379382	73074	5754	5238	79975	4934	118266	24993	2568	0	0	24937	6282	139173	0	27422	5196	0
ASV_23	57478	402134	108227	1508	0	0	18439	0	208529	6498	530715	0	685799	86389	494673	15690	125698	21713	15448	101054	120500	262828	6053	45794	101917	16679	70307	154694	45116	15642	11806	42681	261406	31823	45000	0	60477	81242	33011	0	0	10852	9423	94167	0	63802	5196	0
ASV_4	70966	207213	59063	124935	375558	92945	236448	54573	655092	159355	325048	231686	343589	354687	333484	197025	188547	380388	358341	174005	99495	144252	208491	228592	182347	152247	193939	67278	109131	417453	187487	149166	294164	414687	131585	143730	220741	51480	177599	263748	205425	109217	81090	267166	165735	53944	60810	145644
