function	SA_D018	SA_D017	SA_D025	SA_D026	SA_D016	SA_D039	SA_D006	SA_D040	SA_D028	SA_D051	SA_D027	SA_D005	SA_D035	SA_D052	SA_D047	SA_D015	SA_D024	SA_D014	SA_D012	SA_D038	SA_D010	SA_D034	SA_D013	SA_D046	SA_D023	SA_D049	SA_D050	SA_D033	SA_D021	SA_D036	SA_D011	SA_D022	SA_D007	SA_D048	SA_D045	SA_D008	SA_D037	SA_D009	SA_D031	SA_D019	SA_D020	SA_D032	SA_D041	SA_D043	SA_D044	SA_D042
acetate_oxidation.value	4102	3982	3164	3189	4099	4009	3451	3909	3021	3544	3020	3253	3824	3404	3505	3512	2803	3359	3184	3794	3251	3351	3408	3286	2756	3440	3337	3389	3458	3111	3438	3267	3280	3079	2955	3108	3195	2921	3557	3138	3283	3236	3537	2834	2705	3202
acetoclastic_methanogenesis.value	1663	1491	1091	1072	1393	1382	1271	1296	1107	1248	1052	1187	1044	1134	973	1109	833	955	870	1081	910	981	929	908	799	923	897	922	1044	716	758	985	998	712	751	986	763	666	822	1038	1095	635	834	512	444	753
aerobic_ammonia_oxidation.value	551	643	488	604	661	858	456	793	505	777	558	402	872	644	1070	498	676	600	755	1231	856	1003	695	1364	589	1035	893	896	687	743	715	614	871	746	955	894	595	676	902	680	638	718	1381	1200	1094	886
aerobic_anoxygenic_phototrophy.value	0	3	0	4	0	0	14	0	0	3	2	16	0	4	0	0	0	1	4	0	0	0	1	0	3	0	0	0	0	0	1	0	0	0	0	4	0	0	0	0	0	0	0	0	0	0
aerobic_chemoheterotrophy.value	4190	3810	5360	4838	3236	3093	4753	3143	5273	3623	5332	4774	3283	3557	3537	3516	5010	3533	3901	3093	3633	3489	3310	3326	5130	3021	2899	3494	3944	3395	3690	3880	3654	3612	3596	3383	3874	3635	3340	3579	3436	3304	3253	3195	3335	3214
aerobic_nitrite_oxidation.value	0	0	34	25	5	9	0	7	8	18	11	0	5	8	5	3	1	9	0	14	5	3	5	3	3	5	12	7	3	3	0	0	2	2	0	2	14	0	5	8	5	8	17	5	7	11
alcohol_fermentation.value	725	620	521	420	780	831	542	815	442	834	465	634	961	748	894	946	683	729	1244	828	751	579	723	483	603	813	962	643	573	1323	949	593	685	1273	519	628	1281	834	580	722	665	418	797	519	656	559
alginate_degradation.value	19	12	47	7	50	30	16	47	17	42	6	22	1	23	10	37	15	5	11	2	1	0	6	2	21	0	0	0	11	2	11	16	13	12	7	15	0	18	2	7	8	0	16	16	9	5
aliphatic_non_methane_hydrocarbon_degradation.value	31	27	19	23	29	23	25	28	15	40	22	25	16	39	32	37	38	23	32	15	17	17	18	13	36	33	42	13	20	26	29	13	33	36	16	32	38	11	14	30	31	15	11	17	17	16
anaerobic_chemoheterotrophy.value	6141	5761	5951	5208	5727	5754	5404	5843	5241	6162	5260	5789	6085	5825	6303	6441	5869	6052	7473	5618	5480	5279	6171	4527	5774	5667	5828	5288	5685	7115	6461	5798	5935	7276	4909	5600	6730	6172	5753	5710	5958	5148	5253	5291	5444	4827
anammox.value	608	519	367	433	369	317	462	328	485	357	482	494	326	369	399	313	499	326	336	327	295	271	337	290	475	347	366	213	508	312	420	524	398	294	286	410	187	297	327	511	495	367	349	347	345	344
animal_parasites_or_symbionts.value	1344	1577	1230	1369	1514	1597	1213	1571	1230	1516	1406	1113	1800	1418	1902	1309	1523	1334	1486	2001	1580	1723	1403	2034	1392	1756	1654	1580	1422	1671	1517	1381	1767	1621	1710	1726	1442	1402	1682	1718	1581	1607	2088	2054	2021	1713
anoxygenic_photoautotrophy_Fe_oxidizing.value	0	12	0	0	6	0	156	0	0	0	0	151	5	4	0	0	0	0	0	0	4	0	0	0	0	0	0	0	15	0	1	9	10	0	0	12	0	0	0	15	7	0	0	0	0	0
anoxygenic_photoautotrophy_H2_oxidizing.value	146	167	88	68	102	50	630	51	35	88	42	556	39	139	227	64	112	131	127	44	91	40	195	55	199	50	43	48	129	59	743	145	246	218	40	212	39	61	53	682	485	40	29	121	181	23
anoxygenic_photoautotrophy_S_oxidizing.value	612	576	549	463	460	272	1484	287	403	453	390	1397	287	491	634	426	671	490	593	283	487	331	566	283	712	323	290	331	646	331	1258	611	878	654	310	815	417	495	364	1198	971	261	286	520	592	207
anoxygenic_photoautotrophy.value	655	614	547	445	445	276	1390	291	411	434	387	1280	287	486	549	413	631	467	550	277	504	336	530	280	653	320	286	344	630	321	1224	601	815	590	307	767	417	509	395	884	691	294	283	478	575	207
aromatic_compound_degradation.value	985	917	798	726	1049	1047	698	1056	756	1003	862	794	1010	1001	955	1235	810	983	1001	884	1074	1206	978	1058	790	925	903	1206	879	1318	859	909	1000	1195	1262	1000	1122	1168	1100	964	978	1026	1337	1045	1000	1349
aromatic_hydrocarbon_degradation.value	868	777	659	600	959	953	521	963	631	882	718	601	857	890	794	1091	650	883	855	778	981	1096	884	961	609	818	799	1093	770	1135	672	794	861	1031	1142	848	1025	1050	982	758	781	933	1164	909	870	1205
arsenate_detoxification.value	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
arsenate_respiration.value	3	6	7	18	3	0	9	2	6	3	3	10	12	7	8	2	5	2	11	7	6	6	2	5	5	1	0	10	3	8	11	11	16	10	5	10	0	2	7	11	17	3	35	3	10	36
arsenite_oxidation_detoxification.value	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
arsenite_oxidation_energy_yielding.value	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
cellulolysis.value	942	1003	809	705	924	862	915	854	746	871	773	866	1064	954	963	928	881	703	1069	956	886	810	730	786	910	704	778	875	841	1204	970	897	948	1179	840	877	1131	876	903	1160	1128	873	1050	894	1019	1106
chemoheterotrophy.value	12795	12508	13518	12501	11678	11588	12519	11719	12908	12276	12918	12899	11984	12141	12277	12606	13382	12192	13524	11257	12131	11426	12097	10835	13338	11030	11006	11465	11987	13536	12366	12209	12240	13466	11740	11778	12942	12723	12076	12230	12260	11721	11750	11789	12006	11908
chitinolysis.value	1616	1813	2039	2678	2784	3001	1250	2984	2201	2667	2146	1200	2409	2719	1930	2857	1856	2771	1723	3420	2772	3443	2874	3486	1916	3955	3937	3487	2915	1905	1624	2797	2291	1612	3327	2677	2806	2788	2857	1846	2074	3386	2734	3158	2747	3070
chlorate_reducers.value	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1
chloroplasts.value	38	42	34	28	40	26	122	30	40	45	18	122	44	59	34	57	44	13	61	15	20	23	16	21	57	11	5	24	43	47	65	70	36	36	18	48	10	40	20	59	38	15	21	33	42	29
class	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
collagen_degradation.value	0	0	0	0	0	7	3	0	0	0	0	0	20	4	11	0	0	0	15	3	0	2	0	2	0	4	5	0	0	28	13	0	12	23	0	6	21	0	3	3	0	0	2	4	3	0
