OTU	SA_D018	SA_D017	SA_D025	SA_D026	SA_D016	SA_D039	SA_D006	SA_D040	SA_D028	SA_D051	SA_D027	SA_D005	SA_D035	SA_D052	SA_D015	SA_D024	SA_D014	SA_D012	SA_D038	SA_D010	SA_D034	SA_D013	SA_D023	SA_D049	SA_D050	SA_D033	SA_D021	SA_D036	SA_D011	SA_D022	SA_D007	SA_D048	SA_D045	SA_D008	SA_D037	SA_D009	SA_D031	SA_D019	SA_D020	SA_D032	SA_D041	SA_D043	SA_D044	SA_D042
ASV_14	1149	998	945	942	937	904	866	862	862	858	830	792	789	787	758	726	716	711	702	701	698	690	679	641	638	629	611	605	604	584	579	574	560	543	522	513	512	423	483	392	438	301	274	401
ASV_62	191	153	196	142	142	136	135	128	61	186	82	144	362	134	189	307	211	384	219	143	89	248	278	206	266	117	117	576	306	138	160	413	109	148	370	226	138	141	128	90	68	162	156	41
ASV_68	181	164	50	41	97	101	74	117	79	119	82	77	55	128	129	36	234	60	71	391	321	193	37	98	110	315	206	72	44	206	324	85	491	358	110	490	348	152	158	466	241	437	432	384
ASV_185	38	29	6	14	31	0	87	0	0	32	3	81	2	24	30	25	21	37	7	21	4	48	54	5	4	3	51	10	151	52	104	71	9	97	0	19	5	487	361	4	3	60	33	2
ASV_932	0	4	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	3	0	0	3	0	0	0	131	415	0	0	0	0	0
ASV_149	48	31	52	37	98	83	58	84	24	76	31	51	49	74	146	39	167	59	159	149	97	144	53	173	231	108	60	72	64	80	99	64	109	89	408	161	104	56	36	100	27	80	87	39
ASV_48	363	320	272	155	233	253	269	267	128	283	117	296	224	267	390	95	221	274	207	239	213	230	77	217	199	202	298	323	244	302	235	297	201	249	265	340	210	329	406	189	316	169	209	401
ASV_128	111	94	15	27	126	100	43	98	24	101	16	39	0	105	185	0	149	0	134	334	238	159	0	212	208	245	218	0	0	201	87	0	292	113	160	402	57	76	79	72	97	43	35	78
ASV_58	289	228	260	206	328	295	158	304	87	332	83	169	156	298	388	122	362	203	282	200	175	402	126	273	365	150	269	237	171	245	209	194	168	220	367	280	218	135	159	218	162	221	195	133
ASV_347	8	10	4	1	5	0	25	0	1	9	2	38	0	14	6	2	8	23	1	3	0	26	0	0	0	0	9	0	377	41	8	181	2	3	0	0	0	106	83	0	0	17	60	1
ASV_197	25	20	0	0	39	43	7	42	0	61	0	6	17	42	55	0	27	0	27	168	248	29	0	33	20	264	66	15	0	71	44	0	358	41	21	164	80	19	13	84	106	69	59	113
ASV_92	46	49	92	98	150	235	20	241	64	234	90	20	57	149	150	52	231	47	316	208	195	244	37	321	339	171	110	49	37	114	186	40	216	178	196	183	182	68	59	143	138	153	162	91
ASV_109	93	63	35	47	52	57	33	66	100	57	76	29	114	73	59	24	205	68	121	242	229	196	26	225	239	232	333	140	42	320	104	75	272	102	115	253	120	67	67	150	74	152	121	98
ASV_81	215	164	128	78	166	170	170	159	56	179	66	172	181	165	255	188	106	310	144	153	100	132	168	136	179	90	99	268	254	92	110	320	101	104	245	194	72	141	147	55	101	52	79	49
ASV_54	193	207	126	169	300	274	200	278	208	243	222	168	272	239	234	169	250	242	261	240	247	271	192	191	197	240	251	144	232	236	214	141	186	203	114	167	282	201	196	205	253	190	143	171
ASV_138	70	88	15	14	123	150	30	137	10	141	15	39	0	119	146	0	28	0	24	164	233	17	0	30	28	252	103	0	0	94	90	0	210	92	14	164	156	37	62	180	259	197	195	290
ASV_136	116	83	61	54	78	79	72	80	32	84	34	91	151	68	130	184	66	281	79	75	46	84	153	74	86	45	41	199	207	43	78	228	38	65	130	95	60	82	81	39	44	55	59	29
ASV_230	9	19	48	125	92	123	17	125	12	63	14	12	0	91	94	0	94	0	150	76	101	88	0	266	275	87	58	0	0	59	5	0	100	8	44	43	28	0	4	22	23	17	13	19
ASV_102	63	58	44	52	268	261	30	215	82	176	88	32	173	155	139	60	96	79	147	189	265	113	65	105	115	262	96	119	75	68	124	73	143	108	66	150	227	43	51	165	197	198	131	140
ASV_28	23	24	0	0	101	8	267	10	0	82	0	228	0	65	63	0	9	21	0	7	8	21	0	0	0	6	0	0	60	6	217	23	11	175	0	12	22	71	65	22	4	123	138	4
ASV_242	50	63	31	84	8	6	31	8	30	20	28	19	41	20	0	59	25	43	51	9	0	33	73	44	55	5	128	19	30	121	210	18	7	257	28	0	58	217	200	60	8	96	46	6
ASV_273	31	22	50	60	147	121	5	131	22	74	28	5	10	61	156	6	58	0	197	29	24	59	15	242	233	23	17	0	0	17	6	9	30	14	127	32	7	8	6	9	62	0	10	57
ASV_98	97	93	163	146	119	107	55	104	89	109	87	56	166	138	170	114	141	83	194	125	198	166	106	186	175	172	78	171	85	62	131	160	177	188	240	194	142	127	164	242	112	194	187	119
ASV_249	0	0	70	132	128	96	0	98	43	69	49	0	81	70	86	32	155	81	158	13	7	132	52	166	232	23	38	48	64	25	14	32	20	13	79	0	0	14	0	0	0	0	0	0
ASV_110	200	147	177	134	97	110	193	103	158	111	138	205	103	91	139	175	113	102	70	156	118	128	199	72	105	149	155	154	90	142	163	92	118	147	79	230	128	96	115	104	77	147	115	57
ASV_262	49	35	33	34	72	63	40	57	43	34	26	25	14	43	49	12	12	20	15	33	35	12	12	12	0	43	149	0	20	139	150	0	38	157	0	20	62	224	206	42	32	35	29	41
ASV_160	49	43	218	164	78	93	38	100	201	82	202	61	151	75	97	208	75	127	78	44	35	82	181	71	66	29	36	213	107	47	21	180	28	14	117	44	36	17	23	40	24	24	35	30
ASV_167	26	44	69	155	51	78	27	60	64	57	59	25	162	51	41	166	90	98	212	65	68	86	188	169	210	64	44	112	97	45	46	51	47	63	140	52	37	19	20	44	32	65	44	16
ASV_134	21	44	82	139	70	87	28	89	106	110	112	19	84	105	56	148	86	58	116	102	85	90	163	106	112	84	157	51	67	158	161	40	76	145	59	68	139	115	120	157	59	210	157	62
ASV_196	26	32	24	40	12	26	20	16	27	26	31	18	0	34	42	15	73	0	29	135	134	70	9	42	41	141	37	0	0	30	134	0	164	143	20	105	195	35	43	205	109	181	186	115
ASV_172	94	67	159	131	69	39	82	40	199	70	170	105	19	64	79	118	50	66	29	53	42	46	136	30	25	54	100	23	66	85	78	53	30	47	58	80	32	68	79	31	19	36	31	14
ASV_155	46	40	79	61	57	65	25	56	78	73	83	57	49	62	104	131	89	89	57	176	96	90	107	84	84	84	193	45	76	174	108	64	86	134	78	183	65	102	106	37	25	82	76	11
ASV_204	7	6	0	2	90	120	4	117	2	109	3	0	48	109	83	0	33	27	162	57	82	45	2	33	46	105	10	77	23	15	71	31	84	61	193	85	141	4	0	128	132	149	168	106
ASV_258	30	22	0	0	44	7	14	9	20	67	27	19	100	63	43	23	5	111	58	9	179	8	19	0	17	192	22	54	99	33	8	155	15	11	52	7	37	62	47	45	122	69	63	70
ASV_165	31	21	17	14	66	91	19	94	34	117	23	21	81	108	74	8	152	55	139	76	65	145	19	189	170	85	45	65	46	43	72	69	118	86	82	80	73	38	31	59	109	104	114	61
ASV_146	84	76	85	70	61	47	95	68	65	75	60	116	147	63	91	100	99	169	89	40	37	110	88	93	104	23	95	184	146	87	72	168	31	84	163	91	56	91	115	41	29	45	54	19
ASV_117	155	130	158	130	125	105	113	106	149	134	128	138	86	123	142	133	154	114	109	85	95	163	135	124	127	101	171	86	107	182	140	84	80	117	137	102	102	151	123	107	62	83	86	93
ASV_151	55	81	0	23	133	129	36	132	21	102	20	28	41	119	140	19	131	36	115	76	109	111	17	149	120	99	73	20	39	57	82	17	102	109	45	77	133	56	55	165	142	140	117	182
ASV_592	121	182	0	12	14	17	108	15	24	9	24	94	8	11	13	48	0	7	6	7	7	0	57	8	0	0	13	0	10	15	0	0	6	0	0	0	0	0	0	0	18	0	0	16
ASV_8	29	26	0	0	16	0	48	0	0	20	0	38	0	11	11	0	6	3	5	8	6	8	2	0	0	5	48	0	19	50	55	9	11	72	4	7	0	181	137	0	0	11	8	0
ASV_417	43	56	156	180	0	0	24	0	35	0	35	25	16	0	0	12	91	14	102	4	8	72	0	156	160	7	16	7	9	16	8	12	12	6	63	0	0	10	10	5	12	0	0	22
ASV_585	0	0	25	23	0	8	0	7	0	0	0	0	0	6	0	0	60	0	76	0	0	48	0	179	156	0	10	0	0	9	49	0	0	59	89	0	21	13	17	20	0	16	22	0
ASV_216	146	132	83	78	48	54	148	58	81	62	81	121	56	57	63	169	61	79	34	25	39	63	161	32	53	29	27	73	67	24	40	52	29	37	51	24	36	19	17	36	76	47	41	61
ASV_359	7	4	0	0	16	7	3	7	0	30	0	0	0	29	26	0	0	0	0	113	68	0	0	0	0	63	3	0	0	7	55	0	109	50	0	131	139	3	0	162	80	152	161	92
ASV_683	19	28	38	55	0	0	28	0	22	0	23	26	11	7	0	131	0	21	0	9	6	0	162	0	0	0	36	18	14	32	9	10	10	12	0	0	0	16	22	0	0	0	0	0
